HOP_LENGTH,NUM_MFCC,N_FFT,batch_size,conv_model,dense_units,dropout_rate,l1_l2_reg,layers_batch_norm,num_layers,val_acc
512,13,2048,256,resnet101,512,0.3,0.0,True,1,0.7810872197151184
512,13,2048,256,resnet101,512,0.0,0.0,True,3,0.7628580927848816
512,13,2048,256,resnet101,128,0.0,0.0,True,3,0.7794596552848816
512,13,2048,256,resnet101,128,0.0,0.0,True,1,0.7805989384651184
512,13,2048,256,resnet18,512,0.3,0.0,True,1,0.7815755009651184
512,13,2048,256,resnet101,512,0.0,0.0,True,1,0.7672526240348816
512,13,2048,256,resnet18,512,0.3,0.0,True,3,0.7762044072151184
512,13,2048,256,resnext50_32x4d,512,0.0,0.0,True,3,0.7679036259651184
512,13,2048,256,resnext50_32x4d,128,0.0,0.0,True,3,0.7701823115348816
512,13,2048,256,resnet101,512,0.3,0.0,True,3,0.7545573115348816
512,13,2048,256,resnet18,128,0.0,0.0,True,1,0.7906901240348816
512,13,2048,256,resnext50_32x4d,512,0.3,0.0,True,3,0.7931315302848816
512,13,2048,256,resnext50_32x4d,128,0.0,0.0,True,3,0.7711588740348816
512,13,2048,256,resnet101,128,0.3,0.0,True,1,0.7615559697151184
512,13,2048,256,resnet101,128,0.0,0.0,True,1,0.7726237177848816
512,13,2048,256,resnext50_32x4d,512,0.3,0.0,True,1,0.7809244990348816
512,13,2048,256,resnet18,512,0.0,0.0,True,3,0.7366536259651184
512,13,2048,256,resnet101,128,0.3,0.0,True,3,0.7669270634651184
512,13,2048,256,resnet18,512,0.0,0.0,True,3,0.7781575322151184
512,13,2048,256,resnet18,512,0.0,0.0,True,3,0.7783203125
512,13,2048,256,resnet18,128,0.0,0.0,True,3,0.7835286259651184
512,13,2048,256,resnet101,512,0.0,0.0,True,3,0.7596028447151184
512,13,2048,256,resnet18,512,0.3,0.0,True,3,0.7976887822151184
512,13,2048,256,resnet18,128,0.3,0.0,True,1,0.77587890625
