HOP_LENGTH,NUM_MFCC,N_FFT,batch_size,dense_units,dropout_rate,l1_l2_reg,layers_batch_norm,normalise,num_layers,prev_layers_trainable,sequence_model_dense_units,sequence_model_layers,val_acc
512,13,2048,128,128,0.0,1e-06,True,True,2,True,128,1,0.7523674368858337
512,13,2048,128,128,0.0,1e-06,True,True,2,True,128,3,0.7398200631141663
512,13,2048,128,128,0.0,1e-06,True,True,2,True,512,1,0.7457386255264282
512,13,2048,128,128,0.0,1e-06,True,True,2,True,512,3,0.7473958730697632
512,13,2048,128,128,0.5,1e-06,True,True,2,True,128,1,0.7462120652198792
512,13,2048,128,128,0.5,1e-06,True,True,2,True,128,3,0.7507102489471436
512,13,2048,128,128,0.5,1e-06,True,True,2,True,512,1,0.7464488744735718
512,13,2048,128,128,0.5,1e-06,True,True,2,True,512,3,0.7256155014038086
512,13,2048,128,512,0.0,1e-06,True,True,2,True,128,1,0.734375
512,13,2048,128,512,0.0,1e-06,True,True,2,True,128,3,0.7412405014038086
512,13,2048,128,512,0.0,1e-06,True,True,2,True,512,1,0.736268937587738
512,13,2048,128,512,0.0,1e-06,True,True,2,True,512,3,0.7189867496490479
512,13,2048,128,512,0.5,1e-06,True,True,2,True,128,1,0.736268937587738
512,13,2048,128,32,0.0,1e-06,True,True,2,True,32,1,0.7154356241226196
512,13,2048,128,32,0.0,1e-06,True,True,2,True,32,2,0.7296401858329773
512,13,2048,128,32,0.0,1e-06,True,True,2,True,64,1,0.732481062412262
512,13,2048,128,32,0.0,1e-06,True,True,2,True,64,2,0.7381629347801208
512,13,2048,128,32,0.5,1e-06,True,True,2,True,64,1,0.6993370652198792
512,13,2048,128,64,0.0,1e-06,True,True,2,True,32,1,0.7163825631141663
512,13,2048,128,64,0.0,1e-06,True,True,2,True,32,2,0.7492897510528564
512,13,2048,128,64,0.5,1e-06,True,True,2,True,32,2,0.734375
512,13,2048,128,32,0.5,1e-06,True,True,2,True,32,1,0.7021780014038086
512,13,2048,128,64,0.5,1e-06,True,True,2,True,64,1,0.7339015603065491
512,13,2048,128,64,0.0,1e-06,True,True,2,True,64,1,0.7251420617103577
512,13,2048,128,32,0.5,1e-06,True,True,2,True,64,2,0.7400568127632141
512,13,2048,128,64,0.5,1e-06,True,True,2,True,64,2,0.748106062412262
512,13,2048,128,64,0.0,1e-06,True,True,2,True,64,2,0.7277461886405945
